Filename,Instrument,Length
46b52f97.wav,Snare_drum,1.46
31db8c5e.wav,Snare_drum,1.26
9320c55f.wav,Snare_drum,1.26
82d4fb44.wav,Snare_drum,3.6
1e3391d5.wav,Snare_drum,5.2
22e1c02c.wav,Snare_drum,2.0
36d06cc0.wav,Snare_drum,1.02
4c4d4797.wav,Snare_drum,2.0
9d308738.wav,Snare_drum,4.22
1bc8eae1.wav,Snare_drum,6.26
f1754aea.wav,Snare_drum,10.92
ff3f21e7.wav,Snare_drum,6.22
c8ecbbfd.wav,Snare_drum,1.74
b86b5a96.wav,Snare_drum,1.34
5c33d972.wav,Snare_drum,1.08
e8e00924.wav,Snare_drum,1.68
b218444c.wav,Snare_drum,3.18
b68f10af.wav,Snare_drum,12.18
cae0d841.wav,Snare_drum,1.68
b6cbc6a9.wav,Snare_drum,1.68
ae7d1c37.wav,Snare_drum,8.72
f0727eac.wav,Snare_drum,1.26
6fca680b.wav,Snare_drum,4.48
5ce40b1b.wav,Snare_drum,5.98
0c67f402.wav,Snare_drum,10.0
4c590f69.wav,Snare_drum,1.08
e4958adc.wav,Snare_drum,8.8
35039ae1.wav,Acoustic_guitar,3.14
2016d256.wav,Acoustic_guitar,2.1
10da16fb.wav,Acoustic_guitar,3.34
c7846d27.wav,Acoustic_guitar,3.14
fc55d588.wav,Acoustic_guitar,4.18
0356dec7.wav,Acoustic_guitar,7.12
55822aae.wav,Acoustic_guitar,8.02
b2261238.wav,Acoustic_guitar,8.02
e92bf0fa.wav,Acoustic_guitar,4.0
17f82c05.wav,Acoustic_guitar,10.0
a25423a8.wav,Acoustic_guitar,21.74
b88322f6.wav,Acoustic_guitar,4.18
a6728901.wav,Acoustic_guitar,2.18
44fb3eeb.wav,Acoustic_guitar,3.14
7506dcc4.wav,Acoustic_guitar,3.14
bb1f5874.wav,Acoustic_guitar,3.86
0eeaebcb.wav,Acoustic_guitar,8.02
d8a257e5.wav,Acoustic_guitar,8.42
367ad7b1.wav,Acoustic_guitar,5.22
38216fad.wav,Acoustic_guitar,7.92
673defaf.wav,Acoustic_guitar,4.16
160c92d7.wav,Acoustic_guitar,3.32
8da75280.wav,Acoustic_guitar,26.32
16c9a838.wav,Acoustic_guitar,3.14
34747922.wav,Acoustic_guitar,3.14
236cbab1.wav,Acoustic_guitar,6.96
fa4d4a92.wav,Acoustic_guitar,25.4
70ca9c77.wav,Acoustic_guitar,8.22
9923ddf8.wav,Acoustic_guitar,1.58
32dee61b.wav,Acoustic_guitar,5.34
195f544d.wav,Cello,7.38
34e4d187.wav,Cello,3.64
3e2bddda.wav,Cello,2.28
6a210ffa.wav,Cello,6.52
743ae0f9.wav,Cello,3.06
4bff8f32.wav,Cello,5.8
e70c41d4.wav,Cello,8.5
238b16a5.wav,Cello,2.88
a59b5a08.wav,Cello,3.98
31dbc5c0.wav,Cello,5.36
e97d9707.wav,Cello,2.38
5e5bca7a.wav,Cello,6.6
d328db67.wav,Cello,4.28
2da9e12a.wav,Cello,6.02
811bf309.wav,Cello,3.9
81d9f077.wav,Cello,7.06
e55c5160.wav,Cello,5.06
0091fc7f.wav,Cello,5.7
cbc8d551.wav,Cello,2.54
dc5be9d7.wav,Cello,9.42
5689818f.wav,Cello,5.78
88500b88.wav,Cello,4.86
e2d993ec.wav,Cello,4.56
f9653de8.wav,Cello,3.32
00353774.wav,Cello,4.52
7d896090.wav,Cello,5.18
ab8e8ae3.wav,Cello,7.22
22bea889.wav,Cello,2.34
9e3bc1b6.wav,Cello,5.18
125e6ccf.wav,Cello,4.7
f63f3703.wav,Double_bass,3.68
13da16ae.wav,Double_bass,4.36
595c191d.wav,Double_bass,2.98
4fd883bb.wav,Double_bass,1.26
462b676f.wav,Double_bass,4.64
c840804f.wav,Double_bass,2.86
8ce2e863.wav,Double_bass,1.78
ca348cbb.wav,Double_bass,2.88
a0cbe92e.wav,Double_bass,2.14
95e1d0ae.wav,Double_bass,5.5
8073923c.wav,Double_bass,2.2
fcfafbc8.wav,Double_bass,3.56
1a7d3f2d.wav,Double_bass,4.82
103f29e5.wav,Double_bass,3.12
c0ddf010.wav,Double_bass,2.5
4fb480bf.wav,Double_bass,8.74
5eadbc6d.wav,Double_bass,2.32
f042282c.wav,Double_bass,2.4
da8ea649.wav,Double_bass,3.06
0286fc27.wav,Double_bass,2.34
6efbaf90.wav,Double_bass,1.42
642ad7e4.wav,Double_bass,1.4
9dd0141c.wav,Double_bass,3.58
deb87700.wav,Double_bass,2.3
b428466c.wav,Double_bass,1.26
e6597186.wav,Double_bass,6.26
e0ecd1a6.wav,Double_bass,2.88
2ac8b94f.wav,Double_bass,4.82
19893aa8.wav,Double_bass,2.8
444f9db5.wav,Double_bass,2.32
e51e1770.wav,Clarinet,5.4
ad42e493.wav,Clarinet,5.86
71c6451f.wav,Clarinet,3.56
b0c06255.wav,Clarinet,4.08
e43f7db2.wav,Clarinet,7.88
ddf23920.wav,Clarinet,5.54
800b401e.wav,Clarinet,7.58
44c5094c.wav,Clarinet,3.94
45de3233.wav,Clarinet,6.0
ce65d6b5.wav,Clarinet,3.04
3f7e6da8.wav,Clarinet,5.84
9a722e53.wav,Clarinet,10.5
3c66098d.wav,Clarinet,5.38
3cbe9902.wav,Clarinet,7.0
ad7ec8cb.wav,Clarinet,9.7
2e1cd085.wav,Clarinet,5.76
8ee44fb5.wav,Clarinet,3.94
1f81cc2b.wav,Clarinet,20.2
5de123c3.wav,Clarinet,3.34
19105b8a.wav,Clarinet,4.82
a64a3740.wav,Clarinet,6.7
5506629f.wav,Clarinet,2.48
740e5bb7.wav,Clarinet,11.1
8916ffcd.wav,Clarinet,4.6
7eb959ec.wav,Clarinet,8.52
a053797b.wav,Clarinet,5.46
dc981a38.wav,Clarinet,6.82
2fc00271.wav,Clarinet,4.2
3c713bcf.wav,Clarinet,6.14
f2310f0d.wav,Clarinet,12.5
